DATETIME,price
2018-01-24,14160.0
2018-01-25,14205.0
2018-01-26,13970.0
2018-01-29,14175.0
2018-01-30,12945.0
2018-01-31,13005.0
2018-02-01,12095.0
2018-02-02,11590.0
2018-02-05,10265.0
2018-02-06,10555.0
2018-02-07,11250.0
2018-02-08,11330.0
2018-02-09,11615.0
2018-02-12,11865.0
2018-02-13,11705.0
2018-02-14,12295.0
2018-02-15,13095.0
2018-02-16,13025.0
2018-02-20,14740.0
2018-02-21,13375.0
2018-02-22,13090.0
2018-02-23,13324.0
2018-02-26,13624.0
2018-02-27,14034.0
2018-02-28,14019.0
2018-03-01,14439.0
2018-03-02,14434.0
2018-03-05,14989.0
2018-03-06,14024.0
2018-03-07,13164.0
2018-03-08,12774.0
2018-03-09,12389.0
2018-03-12,12284.0
2018-03-13,12444.0
2018-03-14,11649.0
2018-03-15,11609.0
2018-03-16,11929.0
2018-03-19,11774.0
2018-03-20,12319.0
2018-03-21,12264.0
2018-03-22,12004.0
2018-03-23,11989.0
2018-03-26,11294.0
2018-03-27,11279.0
2018-03-28,11264.0
2018-03-29,10699.0
2018-04-02,10354.0
2018-04-03,10824.0
2018-04-04,10224.0
2018-04-05,10124.0
2018-04-06,9994.0
2018-04-09,10039.0
2018-04-10,10204.0
2018-04-11,10284.0
2018-04-12,11044.0
2018-04-13,11469.0
2018-04-16,11344.0
2018-04-17,11249.0
2018-04-18,11489.0
2018-04-19,11624.0
2018-04-20,11904.0
2018-04-23,12209.0
2018-04-24,12819.0
2018-04-25,12349.0
2018-04-26,12244.0
2018-04-27,12429.0
2018-04-30,12714.0
2018-05-01,12334.0
2018-05-02,12499.0
2018-05-03,13024.0
2018-05-04,13019.0
2018-05-07,12784.0
2018-05-08,12584.0
2018-05-09,12629.0
2018-05-10,12439.0
2018-05-11,11974.0
2018-05-14,12104.0
2018-05-15,11904.0
2018-05-16,11599.0
2018-05-17,11529.0
2018-05-18,11579.0
2018-05-21,11724.0
2018-05-22,11529.0
2018-05-23,10939.0
2018-05-24,10939.0
2018-05-25,10779.0
2018-05-29,10834.0
2018-05-30,10659.0
2018-05-31,10884.0
2018-06-01,10779.0
2018-06-04,10839.0
2018-06-05,10964.0
2018-06-06,10879.0
2018-06-07,11044.0
2018-06-08,10994.0
2018-06-11,10089.0
2018-06-12,9839.0
2018-06-13,9609.0
2018-06-14,9974.0
2018-06-15,9869.0
2018-06-18,10034.0
2018-06-19,10074.0
2018-06-20,10084.0
2018-06-21,10049.0
2018-06-22,9504.0
2018-06-25,9579.0
2018-06-26,9489.0
2018-06-27,9459.0
2018-06-28,9389.0
2018-06-29,9189.0
2018-07-02,9949.0
2018-07-03,9904.0
2018-07-05,9829.0
2018-07-06,9889.0
2018-07-09,10019.0
2018-07-10,9679.0
2018-07-11,9654.0
2018-07-12,9484.0
2018-07-13,9489.0
2018-07-16,9999.0
2018-07-17,10629.0
2018-07-18,10719.0
2018-07-19,10774.0
2018-07-20,10664.0
2018-07-23,11059.0
2018-07-24,11569.0
2018-07-25,11439.0
2018-07-26,11559.0
2018-07-27,11504.0
2018-07-30,11404.0
2018-07-31,11034.0
2018-08-01,10849.0
2018-08-02,10829.0
2018-08-03,10674.0
2018-08-06,10224.0
2018-08-07,10294.0
2018-08-08,9634.0
2018-08-09,9764.0
2018-08-10,9694.0
2018-08-13,9534.0
2018-08-14,9379.0
2018-08-15,9679.0
2018-08-16,9709.0
2018-08-17,9784.0
2018-08-20,9734.0
2018-08-21,9729.0
2018-08-22,9709.0
2018-08-23,9709.0
2018-08-24,9909.0
2018-08-27,10029.0
2018-08-28,10394.0
2018-08-29,10309.0
2018-08-30,10119.0
2018-08-31,10359.0
2018-09-04,10664.0
2018-09-05,10214.0
2018-09-06,9744.0
2018-09-07,9704.0
2018-09-10,9579.0
2018-09-11,9544.0
2018-09-12,9604.0
2018-09-13,9749.0
2018-09-14,9839.0
2018-09-17,9544.0
2018-09-18,9589.0
2018-09-19,9689.0
2018-09-20,9714.0
2018-09-21,10054.0
2018-09-24,9924.0
2018-09-25,9664.0
2018-09-26,9789.0
2018-09-27,9959.0
2018-09-28,9984.0
2018-10-01,9854.0
2018-10-02,9824.0
2018-10-03,9739.0
2018-10-04,9869.0
2018-10-05,9844.0
2018-10-08,9944.0
2018-10-09,9894.0
2018-10-10,9854.0
2018-10-11,9494.0
2018-10-12,9499.0
2018-10-15,9704.0
2018-10-16,9734.0
2018-10-17,9734.0
2018-10-18,9704.0
2018-10-19,9694.0
2018-10-22,9709.0
2018-10-23,9709.0
2018-10-24,9734.0
2018-10-25,9724.0
2018-10-26,9709.0
2018-10-29,9559.0
2018-10-30,9564.0
2018-10-31,9614.0
2018-11-01,9634.0
2018-11-02,9664.0
2018-11-05,9709.0
2018-11-06,9734.0
2018-11-07,9829.0
2018-11-08,9729.0
2018-11-09,9654.0
2018-11-12,9644.0
2018-11-13,9604.0
