Instrument,Description,Pointsize,Currency,AssetClass,Slippage,PerBlock,Percentage,PerTrade
AEX,Netherlands equity index AEX,200,EUR,Equity,0.1,2,0,0
AEX_mini,AEX mini,20,EUR,Equity,0.1,0.2,,
ALUMINIUM,NYMEX Aluminum Index,25,USD,Metals,8.5,1.5,0,0
ALUMINIUM_LME,High-Grade Primary Aluminium,25,USD,Metals,,,,
ASX,Australian equity index ASX200,25,AUD,Equity,,,,
AUD,AUDUSD currency,100000,USD,FX,3.22215919456375E-05,2.46,0,0
AUD_micro,AUDUSD micro,10000,USD,FX,0.0001,0.85,,
AUD-SGX,SGX Australian Dollar in US Dollar Futures,25000,USD,FX,0.00015,2.85,0,0
AUDCAD,Australlian dollar CAD,200000,CAD,FX,,,,
AUDJPY,Australlian dollar Yen CME,200000,JPY,FX,,,,
AUDJPY-SGX,SGX Australian Dollar in Japanese Yen Futures,25000,JPY,FX,0.015,285,0,0
AUS10,Australian 10 year bond,9062,AUD,Bond,,,,
AUS3,Australian 3 year bond,3011,AUD,Bond,,,,
AUSCASH,30 Day Interbank Cash Rate,2466,AUD,Bond,,,,
AUSSTIR,Australian STIR Bills,2414,AUD,STIR,,,,
BB3M,Three-Month Bloomberg Short-Term Bank Yield,2500,USD,Bond,,,,
BBCOMM,Bloomberg Commodity Index,100,USD,Ags,0.1,1.5,0,0
BEL20,BEL 20 Index (BFX@),10,EUR,Equity,3.25,4.5,0,0
BITCOIN,Micro Bitcoin,0.1,USD,Metals,25,5,0,0
BITCOIN_large,Bitcoin full size,5,USD,Metals,25,5,0,0
BITCOIN-BAKKT,Bakkt Bitcoin,1,USD,Metals,,,,
BOBL,German 5 year bond Bobl,1000,EUR,Bond,0.005,2,0,0
BONO,ES 10 year bonds,1000,EUR,Bond,0.035,2,0,0
BOVESPA,Bovespa Index - USD,1,USD,Equity,53000,0.85,0,0
BOVESPA-HK,Brazil Bovespa Stock Index HK,5,HKD,Equity,,,,
BRE,BREUSD currency,100000,USD,FX,0.000118,1.5,0,0
BRENT,NYMEX Brent Financial Futures Index,1000,USD,OilGas,,0.85,0,0
BRENT_W,Brent crude summer,1000,USD,OilGas,,,,
BRENT-LAST,Brent Crude Oil - Last Day,1000,USD,OilGas,0.012,1.5,0,0
BTP,Italian 10 year bond BTP,1000,EUR,Bond,0.005,2,0,0
BTP3,Short-Term Euro-BTP Italian Government Bond,1000,EUR,Bond,0.005,2,0,0
BUND,German 10 year bond Bund,1000,EUR,Bond,0.005,2,0,0
BUTTER,CME Cash-Settled Butter Futures,200,USD,Ags,1.89375,0.85,0,0
BUXL,German Buxl 15 to 30 year bond,1000,EUR,Bond,0.013,2,0,0
CAC,French equity index CAC40,10,EUR,Equity,0.25,2,0,0
CAD,CADUSD currency,100000,USD,FX,3.4E-05,1.5,0,0
CAD_micro,CADUSD_micro,10000,USD,FX,5E-05,0.85,,
CAD10,Canadian 10 year bond,1000,CAD,Bond,,,,
CAD2,Canadian 2 year bond,1000,CAD,Bond,,,,
CAD5,Canadian 10 year bond,1000,CAD,Bond,,,,
CADSTIR,Canadian STIR Bank acceptance,25,CAD,STIR,,,,
CANNABIS_small,Small Cannabis,100,USD,Ags,,,,
CANOLA,Rapeseed (Canola) in CAD,20,CAD,Ags,2,2,0,0
CH10,Swiss Federal Long-Term Bonds,1000,CHF,Bond,0.181353591160219,4,0,0
CHEESE,Cheese,20000,USD,Ags,0.005360341151386,0.85,0,0
CHF,CHFUSD currency,125000,USD,FX,5E-05,1.5,0,0
CHF_micro,CHFUSD micro,12500,USD,FX,5E-05,0.85,,
CHFJPY,CHFJPY,250000,JPY,FX,,,,
CHINA120,CES China 120 Index,50,HKD,Equity,,,,
CHINAA-CON,MSCI China A 50 Connect Index,25,USD,Equity,,,,
CLP,Chilean peso,50000000,USD,FX,,0.85,0,0
CNH,SGX US Dollar in offshore Chinese Renminbi (CNH),100000,CNH,FX,0.0004,11.2,0,0
CNH-CME,CNHUSD on CME,1000000,USD,FX,,,,
CNH-CME_micro,CHNHUSD micro CME,10000,CNH,FX,,,,
CNH-HK,CNHUSD on HK,100000,CNH,FX,,,,
CNH-onshore,SGX onshore Chinese Renminbi (CNY) in US Dollar Futures (CY@SGX),500000,USD,FX,0.00015,1.8,0,0
CNHEUR,CNHEUR,1000000,EUR,FX,,,,
COAL,ICE Rotterdam Coal,1000,USD,OilGas,,,,
COAL-GEORDIE,ICE Coals to Newcastle,1000,USD,OilGas,,,,
COCOA,Cocoa NY,10,USD,Ags,0.5,3,0,0
COCOA_LDN,Cocoa London,10,GBP,Ags,,,,
COFFEE,Coffee,37500,USD,Ags,0.001,3,0,0
COPPER,Copper,25000,USD,Metals,0.000423883318893,2.31,0,0
COPPER_LME,Grade A Copper - LME,25,USD,Metals,,,,
COPPER-micro,Copper micro,2500,USD,Metals,0.0005,0.85,,
COPPER-mini,COMEX MINY Copper,12500,USD,Metals,0.002,0.85,0,0
CORN,Corn,50,USD,Ags,0.125,2.9,0,0
CORN_mini,Corn mini,10,USD,Ags,0.125,2.9,0,0
COTTON,NYMEX Cotton index,50000,USD,Ags,0.2,0.85,0,0
COTTON2,Cotton #2,50000,USD,Ags,0.01,3,0,0
CRUDE_ICE,West Texas Intermediate Light Sweet Crude Oil ICE,1000,USD,OilGas,,,,
CRUDE_W,Light sweet crude Winter,1000,USD,OilGas,0.009711689350737,2.31,0,0
CRUDE_W_micro,micro WTI crude oil,100,USD,OilGas,0.01,0.7,0,0
CRUDE_W_mini,Light sweet crude Winter mini,500,USD,OilGas,0.025,1.5,0,0
CRYPTO_small,Small Cryptocurrency,100,USD,Metals,,,,
CZK,Czech koruna,4000000,USD,FX,9.2E-05,0.85,0,0
DAX,DAX 30 Index (Deutsche Aktien Xchange 30),1,EUR,Equity,1.5,0.4,0,0
DIVDAX,DivDAX Price Index,200,EUR,Equity,0.175,2,0,0
DIVDAX-DIVI,DivDAX Dividend Points Index,1000,EUR,Equity,,2,0,0
DJSTX-SMALL,Dow Jones STOXX Small 200 Index,50,EUR,Equity,0.2,2,0,0
DJUBS,Dow Jones-UBS Commodity Index,250,EUR,Ags,,,,
DOW,Micro E-Mini Dow Jones Industrial Average Index,0.5,USD,Equity,0.72,0.25,0,0
DOW_mini,Mini Sized Dow Jones Industrial Average $5,5,USD,Equity,0.5,0.85,,
DOW_YEN,OSE Dow Jones Industrial Average,100,JPY,Equity,,,,
DX,US Dollar Index,1000,USD,FX,0.1,2.2,0,0
EDOLLAR,US STIR Eurodollar,2500,USD,Bond,0.0025,2.11,0,0
EPRA-EURO,FTSE EPRA-NAREIT Euro Zone,10,EUR,Equity,,,,
EPRA-EUROPE,FTSE EPRA-NAREIT Europe,10,EUR,Equity,,,,
ETHANOL,Ethanol CME,29000,USD,OilGas,1,0.85,0,0
ETHER-micro,Ethereum micro,0.1,USD,Metals,110,0.2,0,0
ETHEREUM,CME CF Ether-Dollar Reference Rate,50,USD,Metals,3.25,10,0,0
EU-AUTO,Dow Jones STOXX 600 Automobiles & Parts,50,EUR,Sector,0.2,2,0,0
EU-BANKS,Dow Jones Euro STOXX Banks Index,50,EUR,Sector,0.5,2,0,0
EU-BANKS-DIVI,EURO STOXX Banks Index Dividend Futures,500,EUR,Sector,0.12,2,0,0
EU-BASIC,Dow Jones STOXX 600 Basic Resources Index,50,EUR,Sector,0.185835645062497,2,0,0
EU-CHEM,Dow Jones STOXX 600 Chemicals,50,EUR,Sector,0.35,2,0,0
EU-CONSTRUCTION,Dow Jones STOXX 600 Construction & Materials,50,EUR,Sector,0.422269571251789,2,0,0
EU-DIV30,Dow Jones Euro STOXX Select Dividend 30 Index,10,EUR,Equity,1,2,0,0
EU-DIV30-DVP,Euro Stoxx Select Dividend 30 DVP,100,EUR,Equity,,,,
EU-DIV50,Dow Jones EURO STOXX 50 Index-Dividenden,100,EUR,Equity,0.1,2,0,0
EU-DJ-CHEM,Dow Jones Euro STOXX Chemicals,50,EUR,Sector,15.55,2,0,0
EU-DJ-FINANCE,Dow Jones Euro STOXX Financial Services Index,50,EUR,Sector,6.25,2,0,0
EU-DJ-FOOD,Dow Jones Euro STOXX Food&Beverages,50,EUR,Sector,1.55,2,0,0
EU-DJ-HEALTH,Dow Jones Euro STOXX Healthcare,50,EUR,Sector,4.4,2,0,0
EU-DJ-INDUSTRY,Dow Jones Euro STOXX Industrial Goods&Services,50,EUR,Sector,0.6,2,0,0
