DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2018-01-24,11155.0,11195.0,11195.0,20180200,20180300,20180300
2018-01-25,11200.0,11250.0,11250.0,20180200,20180300,20180300
2018-01-26,10965.0,10985.0,10985.0,20180200,20180300,20180300
2018-01-29,11170.0,11215.0,11215.0,20180200,20180300,20180300
2018-01-30,9940.0,9990.0,9990.0,20180200,20180300,20180300
2018-01-31,10000.0,10010.0,10010.0,20180200,20180300,20180300
2018-02-01,9090.0,9085.0,9085.0,20180200,20180300,20180300
2018-02-02,8585.0,8580.0,8580.0,20180200,20180300,20180300
2018-02-05,7260.0,7230.0,7230.0,20180200,20180300,20180300
2018-02-06,7550.0,7540.0,7540.0,20180200,20180300,20180300
2018-02-07,8245.0,8205.0,8205.0,20180200,20180300,20180300
2018-02-08,8325.0,8315.0,8315.0,20180200,20180300,20180300
2018-02-09,8610.0,8600.0,8600.0,20180200,20180300,20180300
2018-02-12,8860.0,8885.0,8885.0,20180200,20180300,20180300
2018-02-13,8700.0,8730.0,8730.0,20180200,20180300,20180300
2018-02-14,9290.0,9350.0,9350.0,20180200,20180300,20180300
2018-02-15,10090.0,10135.0,10135.0,20180200,20180300,20180300
2018-02-16,10020.0,10070.0,10070.0,20180200,20180300,20180300
2018-02-20,11735.0,11750.0,11750.0,20180200,20180300,20180300
2018-02-21,10370.0,10370.0,10370.0,20180200,20180300,20180300
2018-02-22,10085.0,10095.0,10095.0,20180200,20180300,20180300
2018-02-23,10319.0,9950.0,9950.0,20180200,20180300,20180300
2018-02-26,10250.0,10275.0,10275.0,20180300,20180400,20180400
2018-02-27,10660.0,10670.0,10670.0,20180300,20180400,20180400
2018-02-28,10645.0,10665.0,10665.0,20180300,20180400,20180400
2018-03-01,11065.0,11080.0,11080.0,20180300,20180400,20180400
2018-03-02,11060.0,11085.0,11085.0,20180300,20180400,20180400
2018-03-05,11615.0,11650.0,11650.0,20180300,20180400,20180400
2018-03-06,10650.0,10665.0,10665.0,20180300,20180400,20180400
2018-03-07,9790.0,9805.0,9805.0,20180300,20180400,20180400
2018-03-08,9400.0,9420.0,9420.0,20180300,20180400,20180400
2018-03-09,9015.0,9030.0,9030.0,20180300,20180400,20180400
2018-03-12,8910.0,8930.0,8930.0,20180300,20180400,20180400
2018-03-13,9070.0,9080.0,9080.0,20180300,20180400,20180400
2018-03-14,8275.0,8285.0,8285.0,20180300,20180400,20180400
2018-03-15,8235.0,8255.0,8255.0,20180300,20180400,20180400
2018-03-16,8555.0,8580.0,8580.0,20180300,20180400,20180400
2018-03-19,8400.0,8415.0,8415.0,20180300,20180400,20180400
2018-03-20,8945.0,8950.0,8950.0,20180300,20180400,20180400
2018-03-21,8890.0,8900.0,8900.0,20180300,20180400,20180400
2018-03-22,8630.0,8630.0,8630.0,20180300,20180400,20180400
2018-03-23,8615.0,8625.0,8625.0,20180300,20180400,20180400
2018-03-26,7930.0,7935.0,7935.0,20180400,20180500,20180500
2018-03-27,7915.0,7915.0,7915.0,20180400,20180500,20180500
2018-03-28,7900.0,7900.0,7900.0,20180400,20180500,20180500
2018-03-29,7335.0,7335.0,7335.0,20180400,20180500,20180500
2018-04-02,6990.0,6990.0,6990.0,20180400,20180500,20180500
2018-04-03,7460.0,7460.0,7460.0,20180400,20180500,20180500
2018-04-04,6860.0,6865.0,6865.0,20180400,20180500,20180500
2018-04-05,6760.0,6760.0,6760.0,20180400,20180500,20180500
2018-04-06,6630.0,6620.0,6620.0,20180400,20180500,20180500
2018-04-09,6675.0,6670.0,6670.0,20180400,20180500,20180500
2018-04-10,6840.0,6840.0,6840.0,20180400,20180500,20180500
2018-04-11,6920.0,6915.0,6915.0,20180400,20180500,20180500
2018-04-12,7680.0,7680.0,7680.0,20180400,20180500,20180500
2018-04-13,8105.0,8110.0,8110.0,20180400,20180500,20180500
2018-04-16,7980.0,7980.0,7980.0,20180400,20180500,20180500
2018-04-17,7885.0,7885.0,7885.0,20180400,20180500,20180500
2018-04-18,8125.0,8125.0,8125.0,20180400,20180500,20180500
2018-04-19,8260.0,8260.0,8260.0,20180400,20180500,20180500
2018-04-20,8540.0,8530.0,8530.0,20180400,20180500,20180500
2018-04-23,8845.0,8860.0,8860.0,20180400,20180500,20180500
2018-04-24,9470.0,9475.0,9475.0,20180500,20180600,20180600
2018-04-25,9000.0,9010.0,9010.0,20180500,20180600,20180600
2018-04-26,8895.0,8905.0,8905.0,20180500,20180600,20180600
