DATE_TIME,current_contract,next_contract,carry_contract
2018-01-23,20180100,20180200,20180200
2018-02-23,20180200,20180300,20180300
2018-03-23,20180300,20180400,20180400
2018-04-23,20180400,20180500,20180500
2018-05-23,20180500,20180600,20180600
2018-06-22,20180600,20180700,20180700
2018-07-23,20180700,20180800,20180800
2018-08-23,20180800,20180900,20180900
2018-09-24,20180900,20181000,20181000
2018-10-23,20181000,20181100,20181100
2018-11-23,20181100,20181200,20181200
2018-12-24,20181200,20190100,20190100
2019-01-23,20190100,20190200,20190200
2019-02-22,20190200,20190300,20190300
2019-03-22,20190300,20190400,20190400
2019-04-23,20190400,20190500,20190500
2019-05-23,20190500,20190600,20190600
2019-06-24,20190600,20190700,20190700
2019-07-23,20190700,20190800,20190800
2019-08-23,20190800,20190900,20190900
2019-09-23,20190900,20191000,20191000
2019-10-23,20191000,20191100,20191100
2019-11-22,20191100,20191200,20191200
2019-12-23,20191200,20200100,20200100
2020-01-23,20200100,20200200,20200200
2020-02-24,20200200,20200300,20200300
2020-03-23,20200300,20200400,20200400
2020-04-23,20200400,20200500,20200500
2020-05-22,20200500,20200600,20200600
2020-06-23,20200600,20200700,20200700
2020-07-23,20200700,20200800,20200800
2020-08-24,20200800,20200900,20200900
2020-09-23,20200900,20201000,20201000
2020-10-23,20201000,20201100,20201100
2020-11-23,20201100,20201200,20201200
2020-12-23,20201200,20210100,20210100
2021-01-22,20210100,20210200,20210200
2021-02-23,20210200,20210300,20210300
2021-03-23,20210300,20210400,20210400
2021-04-23,20210400,20210500,20210500
2021-05-14,20210500,20210600,20210600
