DATE_TIME,current_contract,next_contract,carry_contract
1982-09-20 00:00:00,19821200,19831200,19831200
1983-09-20 00:00:00,19831200,19841200,19841200
1984-09-18 00:00:00,19841200,19851200,19851200
1985-09-18 00:00:00,19851200,19861200,19861200
1986-09-18 00:00:00,19861200,19871200,19871200
1987-09-18 00:00:00,19871200,19881200,19881200
1988-09-20 00:00:00,19881200,19891200,19891200
1989-09-19 00:00:00,19891200,19901200,19901200
1990-09-18 00:00:00,19901200,19911200,19911200
1991-09-18 00:00:00,19911200,19921200,19921200
1992-09-18 00:00:00,19921200,19931200,19931200
1993-09-20 00:00:00,19931200,19941200,19941200
1994-09-20 00:00:00,19941200,19951200,19951200
1995-09-19 00:00:00,19951200,19961200,19961200
1996-09-18 00:00:00,19961200,19971200,19971200
1997-09-18 00:00:00,19971200,19981200,19981200
1998-09-18 00:00:00,19981200,19991200,19991200
1999-09-20 00:00:00,19991200,20001200,20001200
2000-09-19 00:00:00,20001200,20011200,20011200
2001-09-18 00:00:00,20011200,20021200,20021200
2002-09-18 00:00:00,20021200,20031200,20031200
2003-09-18 00:00:00,20031200,20041200,20041200
2004-09-20 00:00:00,20041200,20051200,20051200
2005-09-20 00:00:00,20051200,20061200,20061200
2006-09-19 00:00:00,20061200,20071200,20071200
2007-09-18 00:00:00,20071200,20081200,20081200
2008-09-18 00:00:00,20081200,20091200,20091200
2009-09-18 00:00:00,20091200,20101200,20101200
2010-09-20 00:00:00,20101200,20111200,20111200
2011-09-20 00:00:00,20111200,20121200,20121200
2012-09-18 00:00:00,20121200,20131200,20131200
2013-12-03 17:30:52,20131200,20141200,20141200
2014-10-03 23:00:02,20141200,20151200,20151200
2015-09-15 23:00:02,20151200,20161200,20161200
2016-09-12 23:00:02,20161200,20171200,20171200
2017-10-27 23:00:02,20171200,20181200,20181200
2018-10-16 00:00:00,20181200,20191200,20191200
2019-10-16 00:00:00,20191200,20201200,20201200
