DATE_TIME,current_contract,next_contract,carry_contract
1988-11-15 00:00:00,19881200,19891200,19891200
1989-11-15 00:00:00,19891200,19901200,19901200
1990-11-15 00:00:00,19901200,19911200,19911200
1991-11-15 00:00:00,19911200,19921200,19921200
1992-11-17 00:00:00,19921200,19931200,19931200
1993-11-16 00:00:00,19931200,19941200,19941200
1994-11-15 00:00:00,19941200,19951200,19951200
1995-11-15 00:00:00,19951200,19961200,19961200
1996-11-15 00:00:00,19961200,19971200,19971200
1997-11-17 00:00:00,19971200,19981200,19981200
1998-11-17 00:00:00,19981200,19991200,19991200
1999-11-16 00:00:00,19991200,20001200,20001200
2000-11-15 00:00:00,20001200,20011200,20011200
2001-11-15 00:00:00,20011200,20021200,20021200
2002-11-15 00:00:00,20021200,20031200,20031200
2003-11-17 00:00:00,20031200,20041200,20041200
2004-11-16 00:00:00,20041200,20051200,20051200
2005-11-15 00:00:00,20051200,20061200,20061200
2006-11-15 00:00:00,20061200,20071200,20071200
2007-11-15 00:00:00,20071200,20081200,20081200
2008-11-17 00:00:00,20081200,20091200,20091200
2009-11-17 00:00:00,20091200,20101200,20101200
2010-11-16 00:00:00,20101200,20111200,20111200
2011-11-15 00:00:00,20111200,20121200,20121200
2012-11-16 00:00:02,20121200,20131200,20131200
2013-11-20 16:31:04,20131200,20141200,20141200
2014-10-03 23:00:02,20141200,20151200,20151200
2015-10-19 23:00:02,20151200,20161200,20161200
2016-09-30 06:41:01,20161200,20171200,20171200
2017-10-18 23:00:02,20171200,20181200,20181200
2018-09-24 00:00:00,20181200,20191200,20191200
2019-09-21 00:00:00,20191200,20201200,20201200
