DATE_TIME,current_contract,next_contract,carry_contract
2014-03-28 23:00:00,20140400,20140600,20140600
2014-05-28 23:00:00,20140600,20140800,20140800
2014-07-28 23:00:00,20140800,20141000,20141000
2014-09-26 23:00:00,20141000,20141200,20141200
2014-11-26 23:00:00,20141200,20150200,20150200
2015-01-27 23:00:00,20150200,20150400,20150400
2015-03-27 23:00:00,20150400,20150600,20150600
2015-05-28 23:00:00,20150600,20150800,20150800
2015-07-28 23:00:00,20150800,20151000,20151000
2015-09-28 23:00:00,20151000,20151200,20151200
2015-11-27 23:00:00,20151200,20160200,20160200
2016-01-28 23:00:00,20160200,20160400,20160400
2016-03-28 23:00:00,20160400,20160600,20160600
2016-05-27 23:00:00,20160600,20160800,20160800
2016-07-28 23:00:00,20160800,20161000,20161000
2016-09-27 23:00:00,20161000,20161200,20161200
2016-11-28 23:00:00,20161200,20170200,20170200
2017-01-27 23:00:00,20170200,20170400,20170400
2017-03-28 23:00:00,20170400,20170600,20170600
2017-05-26 23:00:00,20170600,20170800,20170800
2017-07-28 23:00:00,20170800,20171000,20171000
2017-09-27 23:00:00,20171000,20171200,20171200
2017-11-27 23:00:00,20171200,20180200,20180200
2018-01-29 23:00:00,20180200,20180400,20180400
2018-03-28 23:00:00,20180400,20180600,20180600
2018-05-29 23:00:00,20180600,20180800,20180800
2018-07-27 23:00:00,20180800,20181000,20181000
2018-09-27 23:00:00,20181000,20181200,20181200
2018-11-27 23:00:00,20181200,20190200,20190200
2019-01-28 23:00:00,20190200,20190400,20190400
2019-03-28 23:00:00,20190400,20190600,20190600
2019-05-28 23:00:00,20190600,20190800,20190800
2019-07-29 23:00:00,20190800,20191000,20191000
2019-09-27 23:00:00,20191000,20191200,20191200
2019-11-27 23:00:00,20191200,20200200,20200200
2020-01-28 23:00:00,20200200,20200400,20200400
2020-03-27 23:00:00,20200400,20200600,20200600
2020-05-28 23:00:00,20200600,20200800,20200800
2020-07-28 23:00:00,20200800,20201000,20201000
2020-09-28 23:00:00,20201000,20201200,20201200
2020-11-27 23:00:00,20201200,20210200,20210200
2021-01-28 23:00:00,20210200,20210400,20210400
2021-03-29 23:00:00,20210400,20210600,20210600
2021-05-28 23:00:00,20210600,20210800,20210800
2021-06-09 23:00:00,20210800,20211000,20211000
