DATE_TIME,current_contract,next_contract,carry_contract
2000-08-21 00:00:00,20001100,20011100,20011100
2001-08-21 00:00:00,20011100,20021100,20021100
2002-08-20 00:00:00,20021100,20031100,20031100
2003-08-19 00:00:00,20031100,20041100,20041100
2004-08-19 00:00:00,20041100,20051100,20051100
2005-08-19 00:00:00,20051100,20061100,20061100
2006-08-21 00:00:00,20061100,20071100,20071100
2007-08-21 00:00:00,20071100,20081100,20081100
2008-08-19 00:00:00,20081100,20091100,20091100
2009-08-19 00:00:00,20091100,20101100,20101100
2010-08-19 00:00:00,20101100,20111100,20111100
2011-08-19 00:00:00,20111100,20121100,20121100
2012-08-21 00:00:00,20121100,20131100,20131100
2013-11-14 19:31:39,20131100,20141100,20141100
2014-10-10 23:00:02,20141100,20151100,20151100
2015-09-15 23:00:02,20151100,20161100,20161100
2016-09-12 23:00:02,20161100,20171100,20171100
2017-09-08 23:00:02,20171100,20181100,20181100
2018-09-16 00:00:00,20181100,20191100,20191100
2019-09-15 00:00:00,20191100,20201100,20201100
